<--서울특별시 공사현황 주소-->
서울특별시 강남구 삼성동 1
서울특별시 중구 초동 64-11
서울특별시 강동구 암사동 448 선사고등학교 앞
서울특별시 도봉구 창동 1-25
서울특별시 구로구 개봉동 3 (매봉초~오류IC)
서울특별시 양천구 신정동 887-9
서울특별시 광진구 자양동 57-153
서울특별시 강동구 암사동 400 현대홈타움
서울특별시 강동구 고덕동 85
서울특별시 송파구 잠실동 1 잠실대교 남단IC 일원
서울특별시 금천구 가산동 319-7
서울특별시 구로구 개봉동 290-6 24
서울특별시 송파구 장지동 일원(나들목 1개소)
서울특별시 송파구 삼전동 20
서울특별시 관악구 신림동 산 56-1
서울특별시 영등포구 신길동 16-9 2층
서울특별시 관악구 신림동 산 56-1
경기도 하남시 초이동 산21 ~ 서울특별시 강동구 고덕동
서울특별시 강서구 외발산동 254-4
서울특별시 종로구 연건동 28-2
서울특별시 종로구 연건동 28-2
서울특별시 강동구 둔촌동 6-2
서울특별시 강동구 둔촌동 6-2 중앙보훈병원
서울특별시 마포구 서교동 462-25
서울특별시 서초구 서초동 1318-1
서울특별시 종로구 서린동 99 SK빌딩
서울특별시 중구 충무로2가 53-2
서울특별시 성북구 정릉동 868
서울특별시 중구 충무로4가 12-1
서울특별시 동대문구 신설동 98-28
서울특별시 강동구 성내동 15
서울특별시 서대문구 대현동 27-27 외 3필지
서울특별시 서대문구 대현동 27-27 외 3필지
서울특별시 서대문구 대현동 27-27 외 3필지
서울특별시 서초구 서초동 1699-2
서울특별시 종로구 연건동 28-21
서울특별시 종로구 연건동 101
서울특별시 중구 산림동 82-3
서울특별시 서초구 서초동 1366-9
서울특별시 중구 북창동 129-1 외 3필지
서울특별시 강남구 도곡동 1366-9
서울특별시 동작구 사당동 301-3 1층
서울특별시 강서구 가양동 449-12
서울특별시 성동구 성수동1가 685-701
서울특별시 강서구 개화동 227 개화동로8길38
서울특별시 양천구 목동 20
"서울특별시 마포구 동교동 165 홍대입구역 외 (시청역~을지로입구역,을지로입구역,신당역,선릉역)"
서울특별시 종로구 동숭동 1-27 혜화역 외 4호선 일원
"서울특별시 중구 필동2가 16-2 외 3호선 신사역, 매봉역, 4호선 미아사거리역"
서울특별시 종로구 묘동 59
서울특별시 중구 을지로1가 16
서울특별시 강남구 신사동 668
서울특별시 은평구 진관동 100-6 15-25
"서울특별시 강남구 역삼동 804 외 교대역, 서초역~방배역, 낙성대역, 영등포구청역"
서울특별시 관악구 신림동 1467-10 신림역
서울특별시 중구 황학동 1229번지 외
서울특별시 성동구 송정동 72-117외 11필지
서울특별시 강남구 논현동 89-10
서울특별시 종로구 재동 83 헌법재판소
서울특별시 용산구 한강로3가 40-1007
서울특별시 중랑구 망우동 306-60 양원지구 주상복합용지 외 0필지
서울특별시 중구 장충동1가 56-85 외 33필지
서울특별시 종로구 연건동 28-21
서울특별시 종로구 연건동 28
서울특별시 종로구 연건동 28-21 서울대학교병원
서울특별시 종로구 연건동 28-21
서울특별시 강서구 가양동 1485 가양아파트외
서울특별시 강서구 등촌동 629-1
서울특별시 강동구 고덕동 93-2
서울특별시 중구 필동1가 3-5
서울특별시 영등포구 영등포동2가 439
서울특별시 영등포구 당산동5가 9-4
서울특별시 용산구 원효로1가 93-6
서울특별시 강남구 일원동 50
서울특별시 중구 봉래동1가 57-2
"서울특별시 구로구 고척동 97-32 ,97번지"
서울특별시 영등포구 신길동 116-18
서울특별시 서초구 서초동 1318-4
서울특별시 종로구 혜화동 163-24
서울특별시 강서구 마곡동 767-4
서울특별시 강서구 마곡동 768-1
서울특별시 강서구 마곡동 767
서울특별시 강서구 마곡동 768
서울특별시 강서구 마곡동 769번지 일대
서울특별시 서초구 서초동 1445-1 외 1필지
서울특별시 강남구 역삼동 831-11
서울특별시 금천구 가산동 459-21
서울특별시 금천구 가산동 459-14
서울특별시 서대문구 북아현동 154-13
서울특별시 서초구 반포동 1-1번지 일대
서울특별시 강동구 암사동 450-1 외 7필지
서울특별시 구로구 개봉동 139-200
서울특별시 동작구 상도동 176-3
서울특별시 강북구 번동 241
서울특별시 중랑구 망우동 256-20
서울특별시 강남구 수서동 707 외 다수지역
서울특별시 동대문구 휘경동 49-363
서울특별시 강남구 일원동 50 삼성서울병원
서울특별시 송파구 가락동 600
서울특별시 송파구 가락동 600
서울특별시 서초구 내곡동 347-4
서울특별시 강남구 삼성동 140-32
서울특별시 금천구 시흥동 999-50
서울특별시 영등포구 영등포동1가 92-3 외9필지
서울특별시 성북구 삼선동2가 296 일대
